url,beds,bath,rabbu Occupancy,rabbu ADR,manual Occupancy,manual ADR,Notes,Location,Stars,Review,Cleaning Fee,Host
https://www.airbnb.com/rooms/46038476,2,2,0.53,143,0.903225806451613,134,,North Bend,4.98,41,80,Superhost
https://www.airbnb.com/rooms/54064539,2,2,0.83,251,0.645161290322581,245,"Too fancy, comp won’t compare",North Bend,4.99,75,95,Superhost
https://www.airbnb.com/rooms/52210633,2,1,0.7,189,0.645161290322581,189,"No Dynamic Pricing, looks like a house, not a cabin",North Bend,4.96,45,95,Superhost
https://www.airbnb.com/rooms/721062423659714038,2,2,0.73,387,0.580645161290323,350,"Fancy, Cabin Style",North Bend,4.89,19,125,Superhost
https://www.airbnb.com/rooms/566008910384238034,2,1,0.67,283,0.451612903225806,281,"Bad Photos, On River",North Bend,4.89,64,80,Superhost
https://www.airbnb.com/rooms/51785328,2,2,0.9,252,1,250,"Quaint Cabind Style, Near Rattlesnake Ledge",North Bend,4.9,31,150,Superhost
https://www.airbnb.com/rooms/23960139,2,2,0.57,181,0.483870967741936,180,"Owner Occupied, Poor Photos, Basement Apartment, Language Barrier",North Bend,4.75,112,65,Superhost
https://www.airbnb.com/rooms/45926314,2,1,0.23,395,0.32258064516129,375,Overpriced,Easton,4.95,61,100,Regular
https://www.airbnb.com/rooms/20889506,2,2,0.8,255,0.806451612903226,255,Evolve Management yields bad reviews,Easton,4.51,43,129,Corporate
https://www.airbnb.com/rooms/30071398,2,1,0.07,187,0.258064516129032,171,"Vacasa, bad reviews and cleaning",Easton,4.44,45,164,Corporate
https://www.airbnb.com/rooms/19908956,2,1,0.53,145,0.516129032258065,145,"Ugly, No Dynamic Pricing",Cle Elum,4.87,52,75,Regular
https://www.airbnb.com/rooms/714819816371099049,2,1,0.03,474,0,470,"Lakefront, bad photos, Overpriced",Cle Elum,4.57,7,180,Regular
https://www.airbnb.com/rooms/732625739862507774,2,2,0.8,148,0.709677419354839,145,"New Listing, Underpriced, Bad Photos",Cle Elum,5,9,150,Superhost
https://www.airbnb.com/rooms/26051988,2,3,0.07,166,0.870967741935484,186,"Vacasa, bad reviews and cleaning",Cle Elum,4.57,37,201,Corporate
https://www.airbnb.com/rooms/768978483572927801,2,2,0.3,270,0.225806451612903,270,Owner Occupied,Cle Elum,5,6,230,Regular
https://www.airbnb.com/rooms/47389228,2,1,0.6,200,0.451612903225806,200,On River,Cle Elum,4.72,93,100,Regular
https://www.airbnb.com/rooms/48258178,2,1,0.7,127,0.612903225806452,125,Newer Listing,Cle Elum,4.29,7,225,Superhost
https://www.airbnb.com/rooms/847850412831339117,2,2,0.1,244,0.774193548387097,210,"Vacasa, very nice looking",Cle Elum,4.75,8,186,Corporate
https://www.airbnb.com/rooms/719625260995322512,2,1,0.73,190,0.451612903225806,160,"In Town, updated",Cle Elum,4.96,25,100,Superhost
https://www.airbnb.com/rooms/27342797,2,1,0.2,255,0.193548387096774,257,Overpriced,Cle Elum,4.61,104,150,Regular
https://www.airbnb.com/rooms/572969241718961944,2,2,0.47,337,0.806451612903226,190,Vacasa,Suncadia,4.43,14,169,Corporate
https://www.airbnb.com/rooms/23021120,2,3,0.4,650,0.645161290322581,360,"Superhost, relatively new",Suncadia,4.93,14,200,Superhost
https://www.airbnb.com/rooms/812259821220935977,2,3,0.9,212,,,Off Calendar,Suncadia,5,5,,Corporate
https://www.airbnb.com/rooms/33964064,2,3,0.83,328,0.774193548387097,315,Not Superhost,Suncadia,4.92,102,150,Regular
https://www.airbnb.com/rooms/51149790,2,2,0.73,243,0.838709677419355,235,Superhost not vacasa or corporate,Suncadia,4.97,72,190,Superhost
https://www.airbnb.com/rooms/26032476,2,3,0.2,492,0.225806451612903,421,Superhost not vacasa or corporate,Suncadia,5,79,195,Superhost
https://www.airbnb.com/rooms/630394210952855297,2,3,0.53,351,0.387096774193548,335,Superhost not vacasa or corporate,Suncadia,5,19,210,Superhost
https://www.airbnb.com/rooms/36699088,2,2,0.27,259,0.161290322580645,250,Superhost,Roslyn,4.86,76,200,Superhost
https://www.airbnb.com/rooms/48943693,2,1,0.47,267,0.483870967741936,262,Superhost,Roslyn,4.95,195,80,Superhost
https://www.airbnb.com/rooms/46358968,2,2,0.4,679,0.580645161290323,276,Corporation,Ronald,5,11,165,Corporate
